,iter-No,cost of current prediction line,coeficient of current prediction line,intercept of current prediction line
0,1,2616682699.5125,49.5,99.0
1,2,2564594180.936162,49.005,98.01
2,3,2513542389.261077,48.514950000000006,97.02990000000001
3,4,2463506691.968093,48.02980050000001,96.05960100000001
4,5,2414466867.141731,47.549502495000006,95.09900499000001
5,6,2366403095.2989984,47.074007470050006,94.14801494010001
6,7,2319295951.380826,46.603267395349505,93.20653479069901
7,8,2273126396.902866,46.13723472139601,92.27446944279203
8,9,2227875772.262496,45.67586237418205,91.3517247483641
9,10,2183525789.198912,45.21910375044023,90.43820750088047
10,11,2140058523.4032738,44.76691271293583,89.53382542587165
11,12,2097456407.2758968,44.31924358580647,88.63848717161294
12,13,2055702222.8275955,43.8760511499484,87.7521022998968
13,14,2014779094.722274,43.43729063844892,86.87458127689784
14,15,1974670483.4579823,43.00291773206443,86.00583546412886
15,16,1935360178.6836677,42.57288855474379,85.14577710948758
16,17,1896832292.6489193,42.147159669196355,84.29431933839271
17,18,1859071253.7840762,41.72568807250439,83.45137614500878
18,19,1822061800.408078,41.30843119177935,82.6168623835587
19,20,1785788974.561542,40.895346879861556,81.79069375972311
20,21,1750238115.9625611,40.48639341106294,80.97278682212588
21,22,1715394856.0827746,40.08152947695231,80.16305895390462
22,23,1681245112.3413413,39.68071418218279,79.36142836436558
23,24,1647775082.4144397,39.283907040360965,78.56781408072193
24,25,1614971238.6580195,38.891067969957355,77.78213593991471
25,26,1582820322.6415405,38.502157290257784,77.00431458051557
26,27,1551309339.7904842,38.117135717355204,76.23427143471041
27,28,1520425554.135492,37.735964360181654,75.47192872036331
28,29,1490156483.1659894,37.35860471657984,74.71720943315968
29,30,1460489892.7862258,36.98501866941404,73.97003733882808
30,31,1431413792.3716908,36.6151684827199,73.2303369654398
31,32,1402916429.9239087,36.2490167978927,72.4980335957854
32,33,1374986287.3216577,35.886526629913774,71.77305325982755
33,34,1347612075.6666825,35.527661363614634,71.05532272722927
34,35,1320782730.7220368,35.172384749978484,70.34476949995697
35,36,1294487408.4412026,34.8206609024787,69.6413218049574
36,37,1268715480.5861754,34.472454293453914,68.94490858690783
37,38,1243456530.4327574,34.12772975051938,68.25545950103876
38,39,1218700348.561313,33.786452453014185,67.57290490602837
39,40,1194436928.7312925,33.448587928484045,66.89717585696809
40,41,1170656463.8378494,33.114102049199204,66.22820409839841
41,42,1147349341.948926,32.78296102870721,65.56592205741443
42,43,1124506142.4212015,32.45513141842014,64.91026283684027
43,44,1102117632.0933316,32.13058010423594,64.26116020847188
44,45,1080174761.5549464,31.80927430319358,63.61854860638716
45,46,1058668661.4898964,31.491181560161642,62.982363120323285
46,47,1037590639.0922654,31.176269744560027,62.352539489120055
47,48,1016932174.5537103,30.864507047114426,61.72901409422885
48,49,996684917.620703,30.555861976643282,61.111723953286564
49,50,976840684.2202795,30.25030335687685,60.5006067137537
50,51,957391453.1529453,29.94780032330808,59.89560064661616
51,52,938329362.8513883,29.648322320075,59.29664464015
52,53,919646708.2036946,29.35183909687425,58.7036781937485
53,54,901335937.4397825,29.05832070590551,58.11664141181102
54,55,883389649.0798023,28.767737498846454,57.53547499769291
55,56,865800588.9432585,28.48006012385799,56.96012024771598
56,57,848561647.2176542,28.19525952261941,56.39051904523882
57,58,831665855.5854696,27.913306927393215,55.82661385478643
58,59,815106384.4083143,27.634173858119283,55.268347716238566
59,60,798876539.9671179,27.35783211953809,54.71566423907618
60,61,782969761.7572397,27.08425379834271,54.16850759668542
61,62,767379619.8374072,26.813411260359285,53.62682252071857
62,63,752099812.2314109,26.54527714775569,53.09055429551138
63,64,737124162.3815104,26.279824376278135,52.55964875255627
64,65,722446616.6525112,26.017026132515355,52.03405226503071
65,66,708061241.8855184,25.7568558711902,51.5137117423804
